Model,Forecast_Period,Mean_PM25,Std_PM25,Min_PM25,Max_PM25
ARIMA,7 days,1.85581857388236,0.0555939690704329,1.7757845732849251,1.9301821292904866
ARIMA,30 days,2.0634001843387018,0.14404669593875385,1.7757845732849251,2.2549448577630633
PROPHET,7 days,2.4772279058777458,0.039894181936667265,2.440634649533275,2.5627369358684726
PROPHET,30 days,2.4592558423444246,0.02578255166938921,2.4216877230795006,2.5627369358684726
LSTM,7 days,2.270503520965576,0.005161994602531195,2.260098695755005,2.275317430496216
LSTM,30 days,2.2761342525482178,0.004609014838933945,2.260098695755005,2.281893014907837
